sample_name,ADAD2,ADAMTS15,ARPP19,ATG9B,BAALC,BBS12,BCMO1,BRUNOL5,C19orf35,C1orf168,C2orf71,C9orf53,CPSF4L,CRYL1,CSNK2A1,DACT3,DEM1,DNA2,DTX3,EIF4A3,ENTPD8,F12,FAM176B,FAM7A1,FAM7A2,FAM7A3,FAM92A1,FBXO47,GBAP,HBA2,HNRNPL,HRC,HSD17B1,IL9R,KIAA1755,LAT,LCE4A,LOC284379,LOC729338,LYRM2,MC1R,MCAT,MLLT6,NHS,NOL10,NR1D1,OGFR,OR1E2,OR1F2P,OXSR1,P4HA3,PAPD5,PI4KAP1,PIH1D2,PNPLA5,PPIH,PRELID2,PRKCI,PRRX2,PVRL2,PXMP2,RASGRP1,RDH8,RPL12,RPL36,RPL9,RPS17,RSBN1L,RYK,SCARB1,STAMBPL1,TBX20,TCHP,TCTE1,TEC,TEKT2,TMEM139,TPH2,TRPM4,TTC23L,ZNF181,ZNF788,class
1493C,0,0,0,0.807849356,0,0,0,0,0,0.833727543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186394809,1.095571546,0,0,0,0,0,0,0,0,1.423835858,0,0,0,0,0,0,0.461428306,0,0,0,0,0,0,0,0,0,0.452740849,0,0,0,0,0,0,0.448949262,1.026653229,0,0,0.472668931,0,0,0,0,0,0,0.780779601,0.684326857,ALL
1494C,0,0.694690039,0.633495854,0,0,0,0,0,0,0,0,0.802733276,0.232579005,0.582217798,0,0.790895497,0.85658636,0,0,0.850818195,0.967567484,0,0,0.610500812,0.610500812,0,0,0,0,0,0.367875622,0,0,0,0.840036037,0,0,0,0,0,0.377273649,0.622262891,0.619957691,0.618814209,0,0.810149641,0.818085083,0,0,0.380689808,0,0,0.960513262,0.846847791,0.931844189,0,0,0,0,0.675347446,0,0,0,0,0,0,0.538906912,0.465396274,0,0,0.726959994,0,0.608813836,0.724991722,0,0,0.703403935,0,0.577595422,1.023512926,0,0.61357024,ALL
1589C,0.130578114,0,0,0.851342344,0,0,0,0,0,0,0,0,0,0,0.319458371,0,0,0,0.509555223,0,0,0,0,0,0,0,0,0,0,0,0,1.295960752,0,0,0.337997347,0,0,0.639241182,0,0,0,0,0,0.489012374,0,0,1.360861998,0.981672922,0,0,0,0,0.880806748,0,0,0.927657291,0.710604601,0,0.732506822,0,0,0.954535308,0,0,0,0,0.684188976,0,0,0,0.626658693,0.666831781,0,0,0,0,0,0,0,0,0.554834318,0,ALL
1614C,0,0,0,1.097841582,0,0,1.183477613,0,0,0,0,0,0.710315239,0.561987221,0,0,0.468421428,0,0,0,0,0,0,0.290378969,0.290378969,0.716809023,0,0,0,0,0,0,0,0.517781871,0,0.59470318,0,0,0,0,0,0,0,1.246915381,1.29094009,0.967320696,0.774452164,0,0,0,0,0.565810932,0,0,0.752466716,0.43108934,0.635011858,0,0,1.54677762,0,0.622095728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800221508,0,ALL
1657C,0,1.552708198,0,0,0,0.879303116,0.712559368,0,0,0.715815456,0,0,0,1.096049358,0,0,0,0,0.583480836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99704167,0,0,0,0.836625005,0,0,0,0.449898724,0,0,0,0,0,0.642370556,0,0,0,0,0,1.077927305,0,0,0,0,0,0,0,0.601799772,0.800978551,0.263040233,0,0,0,0.70348635,0,0,0,0,0,0,ALL
1767C,0,0.342137718,0.748781931,0.598275032,0,0,0,0,0,0.291304327,0,0,0.849936322,0,0,0,0,0,0,0.679271556,0,0,0,0.508943772,0.508943772,0,0,0,0,0,0,0,1.037124255,0,0.634461375,0,0,0,0,1.156671408,0,0,0.92012331,0.532652019,0,1.68682079,0.466312198,0.697133083,0.740421328,0.138709388,0,0.52595559,0,1.075980976,0.420492896,0,0.791134834,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607372525,0,0,0,0,0,0,0.47800473,0,0,0,0,ALL
1919C,0.775330149,0,0,0,0,0,0,0,0.348715712,0,0,0,0.578221426,0.720613777,0,0,0,0,0.9795725,0.709497012,0,0,0,0.598389933,0.598389933,0.512453471,0,0,0,0,0,0,0,0,0.411015489,0,0,0,0,0.488208352,0,0.747469903,0,0.597672296,0,0,1.003985987,0,0,0,0,0,1.130993611,0,1.117826523,0,0,0.141623336,0,0.742809763,0,1.604273659,0,0,0,0,0,0,0.73645781,0,0.574605292,0.273759273,0,0,0,0,0,0,0,1.474984036,0,0,ALL
2026C,0.734367217,0,0,0,0,0,0,0,0,0.305715698,0,0.977730745,0,0,0,0,0.862284444,0,0.738675198,0.687509333,0,0.812371933,0,0,0,0,0,0,0,0,0,0.29574705,0,1.032328904,0.520062497,0,1.311067618,0,0,0,0,0,0,0.942273331,0.167645789,0.780315334,0.458564179,0.931486813,1.33456717,0,0,0.935005517,0,0,0.378402661,0,0.763863231,0,0,0.345709387,0,0,0.517338031,0,0.569581747,0,0,0,0,0,0.616225932,0.699765146,0,0,0,0,0,0,0.29574705,0,0,0,ALL
2031C,0,1.049782217,0,0.557826333,0,0,0,0,0,0,0,0.536439109,0,0,0,0,0.719046024,0,0,0,0,0,0,0,0,0,1.499754092,0,0,0,0,0,0,0,1.008469455,0,0,0,0,0.904184003,0,0.495288355,0,0.677421463,0,0.821548744,0,0,1.1985756,0.543276717,0,0,0.380294419,0,0,0.807182018,0,0,0,0,0,0,0,0,0.57173231,0,0,0,0,0,1.011280085,0.468667652,0,0,0,0,0.853111656,1.583994407,0,0,0.584128025,0,ALL
2163C,0,0.879908163,0,0.39687993,0,0,0,0,0,0.426496388,0,0,0.861284067,0,0,0,0,0,0.205988225,0,0,0.682981858,0,0,0,0,2.17204238,0,0,0,0,0,0,0,0,0,0,0.734277967,0,0.430567129,0,0.88274828,0,0.801095161,0,0,1.000935623,0.765765373,0,0.508222445,0,0,0,0,0,0,0.677739921,0,0,0,0,0,0,0,0.416656044,0.442686852,0,0,0,0,0.75964068,0.323211653,0,0,0,0.373077999,0,1.358712663,0,0,0,0,ALL
